Impedance,Resistance,Reactance,HT
27.06,-95.20,1.43E-11,0
27.38,-94.84,1.44E-11,0
27.10,-96.89,1.40E-11,0
27.34,-96.45,1.41E-11,0
27.45,-95.99,1.41E-11,0
27.67,-92.93,1.46E-11,0
27.48,-94.99,1.43E-11,0
27.76,-94.73,1.43E-11,0
27.56,-94.16,1.43E-11,0
28.07,-91.42,1.48E-11,0
28.36,-91.47,1.47E-11,0
27.67,-93.50,1.44E-11,0
27.57,-93.27,1.44E-11,0
28.29,-91.05,1.47E-11,0
28.54,-90.76,1.48E-11,0
27.05,-92.61,1.45E-11,0
27.04,-92.50,1.45E-11,0
26.78,-92.26,1.45E-11,0
27.66,-89.81,1.49E-11,0
26.44,-91.78,1.45E-11,0
26.03,-91.37,1.46E-11,0
25.79,-91.11,1.46E-11,0
26.59,-88.79,1.49E-11,0
26.53,-88.66,1.49E-11,0
25.04,-90.32,1.47E-11,0
24.53,-90.02,1.47E-11,0
25.06,-87.65,1.51E-11,0
25.40,-87.31,1.51E-11,0
